アジ,AJI
アリ,ARI
イカ,IKA
イヌ,INU
ウシ,USHI
ウニ,UNI
ウマ,UMA
エイ,EI
エビ,EBI
カイ,KAI
カキ,KAKI
カニ,KANI
カバ,KABA
カメ,KAME
カモ,KAMO
カリ,KARI
キジ,KIJI
クエ,KUE
クマ,KUMA
クモ,KUMO
コイ,KOI
サイ,SAI
サギ,SAGI
サケ,SAKE
サメ,SAME
サル,SARU
シカ,SHIKA
シシ,SHISHI
ゾウ,ZOU
タカ,TAKA
タコ,TAKO
タラ,TARA
ツル,TSURU
テン,TENN
トキ,TOKI
トド,TODO
トビ,TOBI
トラ,TORA
ヌエ,NUE
ネコ,NEKO
ハエ,HAE
ハチ,HACHI
ハト,HATO
ハブ,HABU
バク,BAKU
ヒト,HITO
ヒヒ,HIHI
フグ,FUGU
フナ,FUNA
ブタ,BUTA
ブリ,BURI
ヘビ,HEBI
ホヤ,HOYA
マス,MASU
モズ,MOZU
ヤギ,YAGI
ヤク,YAKU
ラマ,RAMA
リス,RISU
ロバ,ROBA
ワシ,WASHI
ワニ,WANI
アサリ,ASARI
アシカ,ASHIKA
アトリ,ATORI
アナゴ,ANAGO
アヒル,AHIRU
アユ,AYU
アワビ,AWABI
イカル,IKARU
イサキ,ISAKI
イタチ,ITACHI
イモリ,IMORI
イルカ,IRUKA
イワシ,IWASHI
イワナ,IWANA
インコ,INNKO
ウグイ,UGUI
ウサギ,USAGI
ウズラ,UZURA
ウツボ,UTSUBO
ウナギ,UNAGI
ウミウ,UMIU
エナガ,ENAGA
オウム,OUMU
オカピ,OKAPI
オジカ,OJIKA
オナガ,ONAGA
オロチ,OROCHI
カエル,KAERU
カカバ,KAKABA
カケス,KAKESU
カジカ,KAJIKA
カジキ,KAJIKI
カツオ,KATSUO
カモメ,KAMOME
カラス,KARASU
カレイ,KAREI
カワウ,KAWAU
ガウル,GAURU
ガゼル,GAZERU
ガラゴ,GARAGO
キツネ,KITSUNE
キリン,KIRINN
キンキ,KINNKI
クイナ,KUINA
クジラ,KUJIRA
クズリ,KUZURI
クラゲ,KURAGE
クロジ,KUROJI
ケムシ,KEMUSHI
ゲレザ,GEREZA
コアラ,KOARA
コブラ,KOBURA
コルリ,KORURI
ゴリラ,GORIRA
ゴート,GO-TO
サザエ,SAZAE
サソリ,SASORI
サンマ,SANNMA
シジミ,SHIJIMI
スズキ,SUZUKI
スズメ,SUZUME
タシギ,TASHIGI
タヌキ,TANUKI
チドリ,CHIDORI
ツグミ,TSUGUMI
ツバメ,TSUBAME
デグー,DEGU-
トカゲ,TOKAGE
トンビ,TONNBI
トンボ,TONNBO
ドリル,DORIRU
ドール,DO-RU
ナマコ,NAMAKO
ナマズ,NAMAZU
ニシン,NISHINN
ネズミ,NEZUMI
ノゴマ,NOGOMA
ノジコ,NOJIKO
パンダ,PANNDA
ヒグマ,HIGUMA
ヒツジ,HITSUJI
ヒバリ,HIBARI
ヒラメ,HIRAME
ホタテ,HOTATE
ボンゴ,BONNGO
ポニー,PONI-
マガン,MAGANN
マグロ,MAGURO
マムシ,MAMUSHI
ミサゴ,MISAGO
ミミズ,MIMIZU
ムカデ,MUKADE
メジロ,MEJIRO
メバル,MEBARU
モグラ,MOGURA
ヤマネ,YAMANE
ヤモリ,YAMORI
ヨウム,YOUMU
ラクダ,RAKUDA
アメ,AME
グミ,GUMI
パイ,PAI
アラレ,ARARE
オカキ,OKAKI
オコシ,OKOSHI
オハギ,OHAGI
カカオ,KAKAO
カヌレ,KANURE
クルミ,KURUMI
コーン,KO-NN
ココア,KOKOA
サブレ,SABURE
スフレ,SUFURE
セムラ,SEMURA
ゼリー,ZERI-
ソルト,SORUTO
タルト,TARUTO
ダンゴ,DANNGO
チーズ,CHI-ZU
チマキ,CHIMAKI
トルテ,TORUTE
バター,BATA-
プリン,PURINN
ボーロ,BO-RO
ポテト,POTETO
ムース,MU-SU
モナカ,MONAKA
ラスク,RASUKU
ルリ,﻿RURI
コハク,KOHAKU
サンゴ,SANNGO
シェル,SHIERU
パール,PA-RU
ヒスイ,HISUI
ベリル,BERIRU
ラピス,RAPISU
ルチル,RUCHIRU
ルビー,RUBI-
