アイアイ,AIAI
アイガモ,AIGAMO
アイナメ,AINAME
アオザメ,AOZAME
アオムシ,AOMUSHI
アカマタ,AKAMATA
アザラシ,AZARASHI
アナグマ,ANAGUMA
アマエビ,AMAEBI
アリクイ,ARIKUI
アルパカ,ARUPAKA
アロワナ,AROWANA
アンコウ,ANNKOU
イカナゴ,IKANAGO
イグアナ,IGUANA
イシモチ,ISHIMOCHI
イノシシ,INOSHISHI
イモムシ,IMOMUSHI
イーグル,I-GURU
ウグイス,UGUISU
ウミウシ,UMIUSHI
ウミネコ,UMINEKO
ウミヘビ,UMIHEBI
ウーパー,U-PA-
オオカミ,OOKAMI
オオワシ,OOWASHI
オシドリ,OSHIDORI
オタリア,OTARIA
カササギ,KASASAGI
カナリア,KANARIA
カピバラ,KAPIBARA
カモシカ,KAMOSHIKA
カラカル,KARAKARU
カルガモ,KARUGAMO
カワウソ,KAWAUSO
カワセミ,KAWASEMI
ガラガラ,GARAGARA
キツツキ,KITSUTSUKI
キバノロ,KIBANORO
キビタキ,KIBITAKI
ギンザメ,GINNZAME
クスクス,KUSUKUSU
クマゲラ,KUMAGERA
クマノミ,KUMANOMI
クリオネ,KURIONE
クロブタ,KUROBUTA
クーガー,KU-GA-
コウモリ,KOUMORI
コマドリ,KOMADORI
コヨーテ,KOYO-TE
ゴーラル,GO-RARU
ザリガニ,ZARIGANI
シバイヌ,SHIBAINU
シマウマ,SHIMAUMA
シマリス,SHIMARISU
シラサギ,SHIRASAGI
スカンク,SUKANNKU
スジエビ,SUJIEBI
スズムシ,SUZUMUSHI
スナメリ,SUNAMERI
スネーク,SUNE-KU
スミイカ,SUMIIKA
セイウチ,SEIUCHI
ゼニガメ,ZENIGAME
タイガー,TAIGA-
ターキン,TA-KINN
ターキー,TA-KI-
チーター,CHI-TA-
トナカイ,TONAKAI
ナメクジ,NAMEKUJI
ニジマス,NIJIMASU
ニワトリ,NIWATORI
ハイエナ,HAIENA
ハタハタ,HATAHATA
ハマグリ,HAMAGURI
ハヤブサ,HAYABUSA
バイソン,BAISONN
バーラル,BA-RARU
パイソン,PAISONN
ヒクイナ,HIKUINA
ヒヨドリ,HIYODORI
ビクーナ,BIKU-NA
ビーバー,BI-BA-
アンミツ,ANNMITSU
ウイロウ,UIROU
エクレア,EKUREA
カステラ,KASUTERA
カルカン,KARUKANN
カンテン,KANNTENN
キンツバ,KINNTSUBA
クグロフ,KUGUROFU
クリーム,KURI-MU
クレープ,KURE-PU
ゴーフル,GO-FURU
コンペイ,KONNPEI
シナモン,SHINAMONN
スコーン,SUKO-NN
スターチ,SUTA-CHI
ゼラチン,ZERACHINN
ゼンザイ,ZENNZAI
センベイ,SENNBEI
ダイフク,DAIFUKU
タイヤキ,TAIYAKI
ドーナツ,DO-NATSU
ドラヤキ,DORAYAKI
パウダー,PAUDA-
バカウケ,BAKAUKE
ハツヤシ,HATSUYASHI
ババロア,BABAROA
ボタモチ,BOTAMOCHI
ボンボン,BONNBONN
マカロン,MAKARONN
ミズアメ,MIZUAME
ヨウカン,YOUKANN
アウイン,AUINN
アゲート,AGE-TO
アンバー,ANNBA-
オニキス,ONIKISU
オパール,OPA-RU
クォーツ,KUO-TSU
コーラル,KO-RARU
ゴールド,GO-RUDO
シトリン,SHITORINN
ショール,SHO-RU
シルバー,SHIRUBA-
ジェイド,JIEIDO
ジェット,JIETTO
ジルコン,JIRUKONN
スピネル,SUPINERU
トパーズ,TOPA-ZU
プラチナ,PURACHINA
